URL,CCPA,gpc_json,usp_string_off,usp_off_version,usp_string_on,usp_on_version,Optanon_w/GPC=off,Optanon_w/GPC=on,packet_gpc_off,packets_gpc_on,percentage_change
omaha.com,TRUE,NOT_FOUND,1YN-,1,1YY-,1,,,848,665,-21.58018868
ministrybrands.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
kingston.com,TRUE,NOT_FOUND,1-N-,1,1-N-,1,,,,,
hollywoodlife.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
feedblitz.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
twincities.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
rxlist.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
pampers.com,TRUE,NOT_FOUND,0,0,0,0,0,1,317,504,58.99053628
riteaid.com,TRUE,NOT_FOUND,0,0,0,0,0,1,550,518,-5.818181818
purechat.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
zennioptical.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
gmx.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
comenity.net,TRUE,NOT_FOUND,0,0,0,0,,,,,
coca-colacompany.com,TRUE,NOT_FOUND,0,0,0,0,0,1,691,930,34.58755427
redlobster.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
tuya.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
mckesson.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
king5.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,0,0,,,
twdcns.com,TRUE,json_err,1YNY,1,1YYY,1,,,512,726,41.796875
starz.com,TRUE,json_err,0,0,0,0,,,,,
click2houston.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,,,693,1049,51.37085137
randomhouse.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
hbogola.com,TRUE,json_err,0,0,0,0,,,,,
bill.com,TRUE,NOT_FOUND,0,0,0,0,0,1,802,809,0.872817955
canyon.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
dailynews.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
khou.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
theice.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
eweek.com,TRUE,json_err,0,0,0,0,,,,,
richmond.com,TRUE,NOT_FOUND,1YN-,1,1YY-,1,,,727,801,10.17881706
